"","Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
"346",215,"20200122 P1",-0.0485999999999999,0.1968,"DMSO",0
"347",215,"20200122 P1",-0.0485999999999999,0.1968,"PTx",0
"348",215,"20200122 P1",-0.0485999999999999,0.1968,"YM",0
"349",215,"20200122 P1",-0.0485999999999999,0.1968,"ymptx",0
"351",217,"20200122 P1",-0.1793,0.0828,"DMSO",0
"352",217,"20200122 P1",-0.1793,0.0828,"PTx",0
"353",217,"20200122 P1",-0.1793,0.0828,"YM",0
"354",217,"20200122 P1",-0.1793,0.0828,"ymptx",0
"355",218,"20200122 P1",0.1313,0.0258000000000002,"DMSO",0
"356",218,"20200122 P1",0.1313,0.0258000000000002,"PTx",0
"357",218,"20200122 P1",0.1313,0.0258000000000002,"YM",0
"358",218,"20200122 P1",0.1313,0.0258000000000002,"ymptx",0
"359",220,"20200122 P1",0.0532,0.3917,"DMSO",0
"360",220,"20200122 P1",0.0532,0.3917,"PTx",0
"361",220,"20200122 P1",0.0532,0.3917,"YM",0
"362",220,"20200122 P1",0.0532,0.3917,"ymptx",0
"366",226,"20200122 P1",-0.1189,0.0194999999999997,"DMSO",0
"367",226,"20200122 P1",-0.1189,0.0194999999999997,"PTx",0
"368",226,"20200122 P1",-0.1189,0.0194999999999997,"YM",0
"369",226,"20200122 P1",-0.1189,0.0194999999999997,"ymptx",0
"370",227,"20200122 P1",0.499499999999999,0.8903,"DMSO",0
"371",227,"20200122 P1",0.499499999999999,0.8903,"PTx",0
"372",227,"20200122 P1",0.499499999999999,0.8903,"YM",0
"373",227,"20200122 P1",0.499499999999999,0.8903,"ymptx",0
"374",228,"20200122 P1",0.0803,0.0460000000000002,"DMSO",0
"375",228,"20200122 P1",0.0803,0.0460000000000002,"PTx",0
"376",228,"20200122 P1",0.0803,0.0460000000000002,"YM",0
"377",228,"20200122 P1",0.0803,0.0460000000000002,"ymptx",0
"380",232,"20200122 P1",-0.0767999999999998,0.0314999999999999,"DMSO",0
"381",232,"20200122 P1",-0.0767999999999998,0.0314999999999999,"PTx",0
"382",232,"20200122 P1",-0.0767999999999998,0.0314999999999999,"YM",0
"383",232,"20200122 P1",-0.0767999999999998,0.0314999999999999,"ymptx",0
"385",234,"20200122 P1",-0.0900000000000001,0.2129,"DMSO",0
"386",234,"20200122 P1",-0.0900000000000001,0.2129,"PTx",0
"387",234,"20200122 P1",-0.0900000000000001,0.2129,"YM",0
"388",234,"20200122 P1",-0.0900000000000001,0.2129,"ymptx",0
"390",240,"20200122 P1",-0.0732000000000001,0.1843,"DMSO",0
"391",240,"20200122 P1",-0.0732000000000001,0.1843,"PTx",0
"392",240,"20200122 P1",-0.0732000000000001,0.1843,"YM",0
"393",240,"20200122 P1",-0.0732000000000001,0.1843,"ymptx",0
"397",244,"20200122 P1",-0.3307,-0.338800000000001,"DMSO",0
"398",244,"20200122 P1",-0.3307,-0.338800000000001,"PTx",0
"399",244,"20200122 P1",-0.3307,-0.338800000000001,"YM",0
"400",244,"20200122 P1",-0.3307,-0.338800000000001,"ymptx",0
"402",245,"20200122 P1",-0.1559,0.0851000000000001,"DMSO",0
"403",245,"20200122 P1",-0.1559,0.0851000000000001,"PTx",0
"404",245,"20200122 P1",-0.1559,0.0851000000000001,"YM",0
"405",245,"20200122 P1",-0.1559,0.0851000000000001,"ymptx",0
"409",249,"20200122 P1",-0.2986,-0.0412000000000003,"DMSO",0
"410",249,"20200122 P1",-0.2986,-0.0412000000000003,"PTx",0
"411",249,"20200122 P1",-0.2986,-0.0412000000000003,"YM",0
"412",249,"20200122 P1",-0.2986,-0.0412000000000003,"ymptx",0
"417",254,"20200122 P1",0.0523000000000003,0.2001,"DMSO",0
"418",254,"20200122 P1",0.0523000000000003,0.2001,"PTx",0
"419",254,"20200122 P1",0.0523000000000003,0.2001,"YM",0
"420",254,"20200122 P1",0.0523000000000003,0.2001,"ymptx",0
"422",256,"20200122 P1",-0.2185,0.1953,"DMSO",0
"423",256,"20200122 P1",-0.2185,0.1953,"PTx",0
"424",256,"20200122 P1",-0.2185,0.1953,"YM",0
"425",256,"20200122 P1",-0.2185,0.1953,"ymptx",0
"428",258,"20200122 P1",-0.2277,-0.5933,"DMSO",0
"429",258,"20200122 P1",-0.2277,-0.5933,"PTx",0
"430",258,"20200122 P1",-0.2277,-0.5933,"YM",0
"431",258,"20200122 P1",-0.2277,-0.5933,"ymptx",0
"433",260,"20200122 P1",0.2172,0.5657,"DMSO",0
"434",260,"20200122 P1",0.2172,0.5657,"PTx",0
"435",260,"20200122 P1",0.2172,0.5657,"YM",0
"436",260,"20200122 P1",0.2172,0.5657,"ymptx",0
"438",263,"20200122 P1",0.3862,0.2941,"DMSO",0
"439",263,"20200122 P1",0.3862,0.2941,"PTx",0
"440",263,"20200122 P1",0.3862,0.2941,"YM",0
"441",263,"20200122 P1",0.3862,0.2941,"ymptx",0
"443",266,"20200122 P1",0.0764999999999995,-0.1433,"DMSO",0
"444",266,"20200122 P1",0.0764999999999995,-0.1433,"PTx",0
"445",266,"20200122 P1",0.0764999999999995,-0.1433,"YM",0
"446",266,"20200122 P1",0.0764999999999995,-0.1433,"ymptx",0
"447",267,"20200122 P1",-0.1059,0.0861000000000002,"DMSO",0
"448",267,"20200122 P1",-0.1059,0.0861000000000002,"PTx",0
"449",267,"20200122 P1",-0.1059,0.0861000000000002,"YM",0
"450",267,"20200122 P1",-0.1059,0.0861000000000002,"ymptx",0
"451",269,"20200122 P1",-0.4631,-0.6168,"DMSO",0
"452",269,"20200122 P1",-0.4631,-0.6168,"PTx",0
"453",269,"20200122 P1",-0.4631,-0.6168,"YM",0
"454",269,"20200122 P1",-0.4631,-0.6168,"ymptx",0
"457",273,"20200122 P1",-0.0915,-0.0649000000000003,"DMSO",0
"458",273,"20200122 P1",-0.0915,-0.0649000000000003,"PTx",0
"459",273,"20200122 P1",-0.0915,-0.0649000000000003,"YM",0
"460",273,"20200122 P1",-0.0915,-0.0649000000000003,"ymptx",0
"461",274,"20200122 P1",-0.1938,-0.2596,"DMSO",0
"462",274,"20200122 P1",-0.1938,-0.2596,"PTx",0
"463",274,"20200122 P1",-0.1938,-0.2596,"YM",0
"464",274,"20200122 P1",-0.1938,-0.2596,"ymptx",0
"465",275,"20200122 P1",0.0826999999999997,0.475799999999999,"DMSO",0
"466",275,"20200122 P1",0.0826999999999997,0.475799999999999,"PTx",0
"467",275,"20200122 P1",0.0826999999999997,0.475799999999999,"YM",0
"468",275,"20200122 P1",0.0826999999999997,0.475799999999999,"ymptx",0
"471",277,"20200122 P1",0.1746,-0.0171000000000001,"DMSO",0
"472",277,"20200122 P1",0.1746,-0.0171000000000001,"PTx",0
"473",277,"20200122 P1",0.1746,-0.0171000000000001,"YM",0
"474",277,"20200122 P1",0.1746,-0.0171000000000001,"ymptx",0
"476",278,"20200122 P1",-0.0990999999999996,0.14,"DMSO",0
"477",278,"20200122 P1",-0.0990999999999996,0.14,"PTx",0
"478",278,"20200122 P1",-0.0990999999999996,0.14,"YM",0
"479",278,"20200122 P1",-0.0990999999999996,0.14,"ymptx",0
"481",280,"20200122 P1",-0.5322,-0.4706,"DMSO",0
