"id","Time","Cell.1","Cell.2","Cell.3","Cell.4","Cell.5","Cell.6","Cell.7","Cell.8","Cell.9","Cell.10","Cell.11","Cell.12","Cell.13","Cell.14","Cell.15","Cell.16","Cell.17","Cell.18","Cell.19","Cell.20","Cell.21","Cell.22","Cell.23","Cell.24","Cell.25","Cell.26","Cell.27","Cell.28","Cell.29","Cell.30","Cell.31","Cell.32"
"Cdc42_S1P",7.833334,1.095144,1.069092,0.9988315,1.038807,1.037708,1.017164,0.9933459,1.050366,1.022231,1.053464,1.026622,0.9847909,1.010418,1.027308,1.058151,1.040307,1.056546,1.018931,1.04919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",8,1.0801,1.061891,0.999813,1.034778,1.037118,1.015389,0.9929683,1.062284,1.035948,1.058214,1.033649,0.9789715,0.9993532,1.035282,1.062698,1.043201,1.058229,1.01809,1.046551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",8.166667,1.076794,1.062466,1.002039,1.038654,1.04237,1.008921,0.9816393,1.049897,1.0251,1.051532,1.024937,0.9811237,0.997826,1.040508,1.069109,1.040359,1.056349,1.011914,1.040575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",8.333333,1.078689,1.064645,0.9958383,1.030406,1.041435,1.003903,0.9747859,1.049088,1.024159,1.048899,1.022342,0.9777964,0.9993376,1.043623,1.077277,1.041269,1.053192,1.022898,1.059055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",8.5,1.070274,1.056156,0.9947128,1.038184,1.034636,1.002752,0.9793097,1.045043,1.018265,1.045271,1.018172,0.9763754,0.9934787,1.038742,1.070375,1.047281,1.056944,1.017223,1.048639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",8.666667,1.064395,1.049858,0.9864715,1.033809,1.02869,1.000532,0.9746791,1.051301,1.022758,1.049673,1.022594,0.9720191,0.9923983,1.032914,1.072254,1.048513,1.052123,1.011007,1.044823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",8.833333,1.061506,1.045906,0.9952988,1.036521,1.0246,1.006393,0.9785488,1.044855,1.018438,1.048124,1.018899,0.9790976,1.002233,1.033378,1.079092,1.039596,1.042629,1.011259,1.041166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",9,1.062833,1.043213,0.9871339,1.023386,1.023884,1.005662,0.9813604,1.041685,1.017992,1.042995,1.017207,0.9755322,0.9940576,1.036913,1.083217,1.048665,1.050293,1.018498,1.046746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",9.166667,1.07123,1.049086,1.009756,1.043353,1.022987,1.014292,0.9869462,1.043578,1.015004,1.048063,1.021223,0.9693741,0.9948511,1.037118,1.08849,1.039449,1.04582,1.006944,1.03319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",9.333333,1.071947,1.050883,0.9976441,1.027499,1.016708,0.9819578,0.9606347,1.037415,1.01041,1.040656,1.016805,0.9712551,0.9866572,1.028248,1.081542,1.030303,1.037624,1.003278,1.025236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",9.5,1.074201,1.050945,0.9976797,1.025601,1.029879,0.9907578,0.9626562,1.034403,1.010178,1.043349,1.016033,0.972518,0.9924256,1.040335,1.092607,1.039272,1.040783,1.01359,1.041663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",9.666667,1.071108,1.052319,0.98891,1.020596,1.021478,1.002815,0.975695,1.036899,1.008099,1.043678,1.016811,0.9657441,0.9835647,1.034287,1.089048,1.037806,1.035481,1.011719,1.035884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",9.833333,1.080586,1.061058,0.9711913,1.009913,1.024895,1.007524,0.9863348,1.03515,1.005477,1.040106,1.013956,0.9701488,0.9909923,1.035546,1.091829,1.039477,1.036981,0.9997716,1.024955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",10,1.076343,1.056756,0.9879467,1.025219,1.026673,1.007148,0.9853424,1.031561,0.9992422,1.03641,1.011082,0.9627835,0.9811584,1.033909,1.094858,1.033942,1.029,1.001575,1.026505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",10.16667,1.080635,1.061031,0.9737521,1.019428,1.030357,0.9986944,0.9752734,1.031572,0.9992162,1.036396,1.010197,0.9698278,0.9851286,1.040726,1.097011,1.035879,1.030105,1.008723,1.036891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
