"X","Sample","Slice","CFP","YFP","Ratio","Time"
127,"Cell-03",32,0.552162849872774,1.39597292685958,2.52819060025722,64
128,"Cell-04",32,0.591973244147157,1.35332958968302,2.28613303567922,64
129,"Cell-01",33,0.69449109842123,1.21312462372065,1.74678210631989,66
130,"Cell-02",33,0.554257338980575,1.34215609037078,2.42153959177042,66
131,"Cell-03",33,0.560432569974555,1.3712274437577,2.44673046718173,66
132,"Cell-04",33,0.564102564102564,1.36736827837267,2.42397103893338,66
133,"Cell-01",34,0.749916022841787,1.25490080909238,1.67338844733169,68
134,"Cell-02",34,0.596611654739302,1.34526925716028,2.25484910741162,68
135,"Cell-03",34,0.604325699745547,1.32563473859052,2.19357664112032,68
136,"Cell-04",34,0.56298773690078,1.36407644792131,2.42292390848596,68
137,"Cell-01",35,0.664259321464562,1.35497276104609,2.03982498590858,70
138,"Cell-02",35,0.57908573097707,1.3879641159877,2.39681974833992,70
139,"Cell-03",35,0.657760814249364,1.28749957627597,1.95739780841957,70
140,"Cell-04",35,0.591415830546265,1.33149700830703,2.25137194430048,70
141,"Cell-01",36,0.566845817937521,1.42420816140732,2.51251419052421,72
142,"Cell-02",36,0.526507959690375,1.42945182850898,2.71496717608905,72
143,"Cell-03",36,0.683206106870229,1.27970305420278,1.87308491732474,72
144,"Cell-04",36,0.636566332218506,1.30109598590322,2.04392837014919,72
145,"Cell-01",37,0.527376553577427,1.41767374928415,2.68816226217766,74
146,"Cell-02",37,0.504600554987586,1.43300973341127,2.83988933275455,74
147,"Cell-03",37,0.680661577608142,1.30896826024565,1.92308234122071,74
148,"Cell-04",37,0.637123745819398,1.31092306798598,2.05756429043469,74
149,"Cell-01",38,0.560127645280484,1.35533986285077,2.41969821391708,76
150,"Cell-02",38,0.520665985102965,1.40048031716181,2.6897864604788,76
151,"Cell-03",38,0.624045801526718,1.37523869786782,2.20374641493192,76
152,"Cell-04",38,0.640468227424749,1.3085026044188,2.04304061995416,76
153,"Cell-01",39,0.634027544507894,1.29887960529214,2.0486169986515,78
154,"Cell-02",39,0.557908573097707,1.35568883580269,2.42994802584843,78
155,"Cell-03",39,0.552162849872774,1.42879741471848,2.58763771421365,78
156,"Cell-04",39,0.637123745819398,1.32592994210251,2.08111838681707,78
157,"Cell-01",40,0.688612697346322,1.28030425397571,1.85925159223693,80
158,"Cell-02",40,0.61486782532496,1.32919515108389,2.16175752956565,80
159,"Cell-03",40,0.518447837150127,1.42772398051999,2.75384306426679,80
160,"Cell-04",40,0.605908584169454,1.35928393005828,2.24338120563437,80
161,"Cell-01",41,0.66929795095734,1.32428305017547,1.97861512691211,82
162,"Cell-02",41,0.59296042062217,1.38427914305319,2.33452199322296,82
163,"Cell-03",41,0.537531806615776,1.38032338617643,2.56789155392822,82
164,"Cell-04",41,0.568561872909699,1.37947059620859,2.42624534274334,82
165,"Cell-01",42,0.586160564326503,1.412240642575,2.4093068154417,84
166,"Cell-02",42,0.526507959690375,1.44317517598922,2.74103201941698,84
167,"Cell-03",42,0.604325699745547,1.30473101998847,2.15898648781251,84
168,"Cell-04",42,0.555741360089186,1.38421470480026,2.49075344073387,84
169,"Cell-01",43,0.524857238831038,1.43478069338189,2.73365895948664,86
170,"Cell-02",43,0.490725865342486,1.44279397189255,2.9401221206989,86
171,"Cell-03",43,0.692748091603054,1.23569225206495,1.78375410490918,86
172,"Cell-04",43,0.559643255295429,1.38450516042833,2.47390663128328,86
173,"Cell-01",44,0.512260665099093,1.41055197427351,2.75358244420474,88
174,"Cell-02",44,0.503140061340733,1.40111565732293,2.78474278829902,88
175,"Cell-03",44,0.729007633587786,1.24382775335872,1.70619304387426,88
176,"Cell-04",44,0.567447045707915,1.35027980558837,2.37956971633156,88
177,"Cell-01",45,0.57020490426604,1.31613339011175,2.3081762016864,90
178,"Cell-02",45,0.560099313567986,1.32487483798826,2.36542842652037,90
179,"Cell-03",45,0.662849872773537,1.34326165806036,2.0264945551544,90
180,"Cell-04",45,0.602006688963211,1.32510698448967,2.20114993534673,90
181,"Cell-01",46,0.695330870003359,1.21327146444252,1.74488364717168,92
182,"Cell-02",46,0.636044983204323,1.29387023812549,2.03424328827675,92
183,"Cell-03",46,0.546437659033079,1.43337363419622,2.62312381019379,92
184,"Cell-04",46,0.616499442586399,1.32743062951416,2.15317409525173,92
185,"Cell-01",47,0.739838763856231,1.22927710312624,1.66154730352182,94
186,"Cell-02",47,0.62874251497006,1.35035197844926,2.14770267048597,94
187,"Cell-03",47,0.493638676844784,1.44744127185004,2.93218773111889,94
188,"Cell-04",47,0.614269788182832,1.33938771953605,2.18045514414489,94
189,"Cell-01",48,0.678535438360766,1.33037694013304,1.9606594805822,96
190,"Cell-02",48,0.541843142982328,1.42201834862385,2.62440960458963,96
191,"Cell-03",48,0.499363867684478,1.40371295239602,2.81100224352426,96
192,"Cell-04",48,0.590858416945373,1.35357163603973,2.29085614627857,96
193,"Cell-01",49,0.561807188444743,1.42589682970881,2.53805372917378,98
194,"Cell-02",49,0.492186358989338,1.43542402602353,2.91642382972793,98
195,"Cell-03",49,0.57824427480916,1.28992892735675,2.2307681780031,98
196,"Cell-04",49,0.578595317725752,1.35473345855198,2.34141794281528,98
197,"Cell-01",50,0.510581121934834,1.43103625497423,2.80275982306466,100
198,"Cell-02",50,0.501679567693881,1.40797733106305,2.80652715743485,100
199,"Cell-03",50,0.725826972010178,1.175071468119,1.61894158447246,100
200,"Cell-04",50,0.594202898550725,1.34558410626803,2.26451959347547,100
201,"Cell-01",51,0.526536781995297,1.3743557363328,2.61017992157113,102
202,"Cell-02",51,0.544033883452607,1.3365015629368,2.45665132924248,102
203,"Cell-03",51,0.797073791348601,1.17761381227331,1.47742131914895,102
204,"Cell-04",51,0.591973244147157,1.35095753538718,2.28212600610602,102
205,"Cell-01",52,0.626469600268727,1.24990822454883,1.99516181473559,104
206,"Cell-02",52,0.63458448955747,1.26280210424661,1.98996686024777,104
207,"Cell-03",52,0.739185750636132,1.26264110010056,1.70815129893123,104
208,"Cell-04",52,0.590858416945373,1.3416629552892,2.27070126583851,104
209,"Cell-01",53,0.744037621766879,1.1951366352917,1.60628522043494,106
210,"Cell-02",53,0.676938805316197,1.28967699306209,1.90516038219981,106
211,"Cell-03",53,0.622137404580153,1.37947593812499,2.21731715207821,106
212,"Cell-04",53,0.591415830546265,1.34427705594175,2.27298118601273,106
213,"Cell-01",54,0.738998992274101,1.24888033949575,1.68996216849038,108
214,"Cell-02",54,0.599532642033007,1.38180131642481,2.30479746980772,108
215,"Cell-03",54,0.512722646310433,1.43478604761528,2.79836683232161,108
216,"Cell-04",54,0.60479375696767,1.33198110102047,2.20237243800066,108
217,"Cell-01",55,0.649143432986228,1.36826184637524,2.10779586890509,110
218,"Cell-02",55,0.522126478749817,1.41877811380213,2.71730734131558,110
219,"Cell-03",55,0.499363867684478,1.41354334979266,2.830688083916,110
220,"Cell-04",55,0.617056856187291,1.32549425866042,2.14809096660957,110
221,"Cell-01",56,0.534094726234464,1.42450184285106,2.66713332463371,112
222,"Cell-02",56,0.503870308164159,1.41045515769143,2.79924245354006,112
223,"Cell-03",56,0.538167938931298,1.34823335329544,2.5052279330738,112
224,"Cell-04",56,0.608695652173913,1.33566020564258,2.19429890926996,112
225,"Cell-01",57,0.512260665099093,1.41091907607818,2.75429907507196,114
226,"Cell-02",57,0.530889440630933,1.35645124399604,2.55505410389019,114
227,"Cell-03",57,0.63295165394402,1.25218924079954,1.97833315229837,114
228,"Cell-04",57,0.598104793756968,1.34234068508801,2.24432356854416,114
229,"Cell-01",58,0.553409472623446,1.32009808960221,2.38539120652247,116
230,"Cell-02",58,0.609025850737549,1.2710615263412,2.08704035272379,116
231,"Cell-03",58,0.721374045801527,1.18727472005966,1.64585172833667,116
232,"Cell-04",58,0.588628762541806,1.33619270762736,2.2700092021624,116
233,"Cell-01",59,0.680214981525025,1.21679564176737,1.78883981508221,118
234,"Cell-02",59,0.678399298963049,1.25473328420036,1.8495497948159,118
235,"Cell-03",59,0.751908396946565,1.19586219364753,1.59043601388656,118
236,"Cell-04",59,0.603678929765886,1.32975427453866,2.20275084812775,118
237,"Cell-01",60,0.748236479677528,1.20681047268028,1.61287307617024,120
238,"Cell-02",60,0.633854242734044,1.34183842029022,2.11695107459151,120
239,"Cell-03",60,0.706106870229008,1.29343171263602,1.83177896600344,120
240,"Cell-04",60,0.618729096989966,1.31058420308658,2.11818744174533,120
241,"Cell-01",61,0.712126301645952,1.28353474985683,1.80239761807726,122
242,"Cell-02",61,0.539652402512049,1.41045515769143,2.6136363909914,122
243,"Cell-03",61,0.606234096692112,1.35941966757438,2.24240054294535,122
244,"Cell-04",61,0.632664437012263,1.30956760838836,2.06992448409578,122
245,"Cell-01",62,0.621430970775949,1.38155093170438,2.22317682361294,124
246,"Cell-02",62,0.500219074047028,1.41693562733488,2.83263014317136,124
247,"Cell-03",62,0.541348600508906,1.3889108597643,2.56564967279609,124
248,"Cell-04",62,0.629319955406912,1.33096450632225,2.11492499941729,124
249,"Cell-01",63,0.536614040980853,1.4164990235092,2.63969802377896,126
250,"Cell-02",63,0.51774499780926,1.37671859513584,2.65906691703669,126
251,"Cell-03",63,0.529898218829517,1.37941944158823,2.60317810585438,126
252,"Cell-04",63,0.60479375696767,1.33575702418527,2.20861576164827,126
253,"Cell-01",64,0.532415183070205,1.38022936520756,2.59239294651287,128
254,"Cell-02",64,0.582736965094202,1.30047777580116,2.23167201275954,128
255,"Cell-03",64,0.559796437659033,1.32348787019356,2.36423060448213,128
256,"Cell-04",64,0.603678929765886,1.32762426659954,2.19922246932555,128
257,"Cell-01",65,0.597077594894189,1.28544367924113,2.15289217052086,130
258,"Cell-02",65,0.658682634730539,1.25829118910265,1.91031480527402,130
259,"Cell-03",65,0.626590330788804,1.24620060790274,1.98886025951584,130
260,"Cell-04",65,0.595317725752508,1.32079855934008,2.21864477102632,130
261,"Cell-01",66,0.719684245885119,1.17722206722368,1.63574800192528,132
262,"Cell-02",66,0.675478311669344,1.27868560827467,1.89300764537441,132
263,"Cell-03",66,0.711195928753181,1.21812182913187,1.71277953076503,132
264,"Cell-04",66,0.617614269788183,1.31068102162926,2.12216764693402,132
265,"Cell-01",67,0.794423916694659,1.19366822807301,1.502558272716,134
266,"Cell-02",67,0.615598072148386,1.36089862512389,2.2106934486888,134
267,"Cell-03",67,0.708651399491094,1.22439294471249,1.72777891300542,134
268,"Cell-04",67,0.62876254180602,1.3050655461534,2.07560956542482,134
269,"Cell-01",68,0.71716493113873,1.27626613412432,1.77959919498271,136
270,"Cell-02",68,0.532349934277786,1.40416529009632,2.63767345440041,136
271,"Cell-03",68,0.673664122137405,1.27320595247511,1.88997144220102,136
272,"Cell-04",68,0.624860646599777,1.31469899115079,2.10398750234122,136
273,"Cell-01",69,0.630668458179375,1.3492459728932,2.13939028564744,138
274,"Cell-02",69,0.508251789104717,1.40486416427355,2.76411061286811,138
275,"Cell-03",69,0.613867684478372,1.33207534378143,2.1699714408543,138
276,"Cell-04",69,0.608138238573021,1.32341265999264,2.17617077179358,138
277,"Cell-01",70,0.557608330534095,1.38617641444325,2.48593203963709,140
278,"Cell-02",70,0.528698700160654,1.34711174362754,2.54797627309883,140
279,"Cell-03",70,0.555979643765903,1.35569089614807,2.43838225256837,140
280,"Cell-04",70,0.602564102564103,1.31866855140096,2.18842865977181,140
281,"Cell-01",71,0.537453812562983,1.39021453429465,2.58666791787198,142
282,"Cell-02",71,0.617788812618665,1.25714757681263,2.03491476558772,142
283,"Cell-03",71,0.541984732824427,1.34602998836171,2.48352011937161,142
284,"Cell-04",71,0.599777034559643,1.31847491431559,2.19827508948157,142
285,"Cell-01",72,0.553409472623446,1.33720503369995,2.41630311704081,144
286,"Cell-02",72,0.694464729078428,1.23599074944725,1.77977469221143,144
287,"Cell-03",72,0.573155216284987,1.29936384899606,2.26703659336493,144
288,"Cell-04",72,0.594202898550725,1.32665608117267,2.23266511221741,144
289,"Cell-01",73,0.637386630836413,1.25791104389069,1.97354475766144,146
290,"Cell-02",73,0.663064115671097,1.32087219497319,1.9920731099078,146
291,"Cell-03",73,0.63295165394402,1.25501406763765,1.98279609480039,146
292,"Cell-04",73,0.603678929765886,1.31256898321166,2.17428324642819,146
293,"Cell-01",74,0.702888814242526,1.22200848739372,1.73855162101368,148
294,"Cell-02",74,0.550606104863444,1.385867493456,2.51698533891067,148
295,"Cell-03",74,0.659033078880407,1.23789561699868,1.8783512644034,148
296,"Cell-04",74,0.615384615384615,1.29155935944852,2.09878395910385,148
297,"Cell-01",75,0.712126301645952,1.24880691913481,1.75363122559639,150
298,"Cell-02",75,0.506061048634438,1.40175099748405,2.76992469834728,150
299,"Cell-03",75,0.67175572519084,1.23642670704286,1.84058975707516,150
300,"Cell-04",75,0.635451505016722,1.29640028658289,2.04012466151728,150
301,"Cell-01",76,0.660900235136043,1.29770487951719,1.96354125861381,152
