"Time","Cell","Activity","amplitude","rank"
1.833333,"Cell.28",1.016316,49.1636775,0.451612903225806
1.833333,"Cell.29",1.042721,44.3182663,0
1.833333,"Cell.30",1.002711,46.8093946,0.0645161290322581
1.833333,"Cell.31",1.01041,45.612368,0.032258064516129
1.833333,"Cell.32",1.032,47.128056,0.161290322580645
2,"Cell.1",1.000553,50.315458,0.741935483870968
2,"Cell.2",1.000976,49.0784891,0.387096774193548
2,"Cell.3",0.9921311,49.1608432,0.419354838709677
2,"Cell.4",1.006792,54.72428,1
2,"Cell.5",1.000001,53.9923307,0.967741935483871
2,"Cell.6",0.9836773,51.4303486,0.870967741935484
2,"Cell.7",0.9908759,52.5428662,0.935483870967742
2,"Cell.8",1.04789,51.187307,0.838709677419355
2,"Cell.9",1.003216,49.881537,0.67741935483871
2,"Cell.10",0.9912003,50.8529285,0.806451612903226
2,"Cell.11",0.9734252,49.7917974,0.645161290322581
2,"Cell.12",0.9713711,50.3284978,0.774193548387097
2,"Cell.13",0.9515865,49.6419659,0.548387096774194
2,"Cell.14",0.9708831,49.4013006,0.483870967741935
2,"Cell.15",0.9961488,51.9740685,0.903225806451613
2,"Cell.16",0.9825976,49.7225102,0.580645161290323
2,"Cell.17",1.016291,49.5812456,0.516129032258065
2,"Cell.18",0.9802133,49.9310024,0.709677419354839
2,"Cell.19",0.9836298,47.4779692,0.193548387096774
2,"Cell.20",0.9783173,47.4997003,0.225806451612903
2,"Cell.21",0.9821034,47.8125827,0.258064516129032
2,"Cell.22",0.9972948,49.0180877,0.354838709677419
2,"Cell.23",0.9853625,48.0714543,0.290322580645161
2,"Cell.24",0.9819637,48.5968825,0.32258064516129
2,"Cell.25",0.9571617,46.9078372,0.0967741935483871
2,"Cell.26",0.9961997,49.7401503,0.612903225806452
2,"Cell.27",0.9538341,46.9168102,0.129032258064516
2,"Cell.28",1.002746,49.1636775,0.451612903225806
2,"Cell.29",1.007854,44.3182663,0
2,"Cell.30",0.9862127,46.8093946,0.0645161290322581
2,"Cell.31",0.9721453,45.612368,0.032258064516129
2,"Cell.32",0.9722135,47.128056,0.161290322580645
2.166667,"Cell.1",1.010695,50.315458,0.741935483870968
2.166667,"Cell.2",1.005661,49.0784891,0.387096774193548
2.166667,"Cell.3",0.996932,49.1608432,0.419354838709677
2.166667,"Cell.4",1.030332,54.72428,1
2.166667,"Cell.5",1.027158,53.9923307,0.967741935483871
2.166667,"Cell.6",0.9962205,51.4303486,0.870967741935484
2.166667,"Cell.7",1.006659,52.5428662,0.935483870967742
2.166667,"Cell.8",1.057464,51.187307,0.838709677419355
2.166667,"Cell.9",1.011126,49.881537,0.67741935483871
2.166667,"Cell.10",0.989268,50.8529285,0.806451612903226
2.166667,"Cell.11",0.9640642,49.7917974,0.645161290322581
2.166667,"Cell.12",0.9593463,50.3284978,0.774193548387097
2.166667,"Cell.13",0.9637889,49.6419659,0.548387096774194
2.166667,"Cell.14",0.992675,49.4013006,0.483870967741935
2.166667,"Cell.15",0.999777,51.9740685,0.903225806451613
2.166667,"Cell.16",0.9877548,49.7225102,0.580645161290323
2.166667,"Cell.17",1.011143,49.5812456,0.516129032258065
2.166667,"Cell.18",0.9870145,49.9310024,0.709677419354839
2.166667,"Cell.19",0.9665964,47.4779692,0.193548387096774
2.166667,"Cell.20",0.96829,47.4997003,0.225806451612903
2.166667,"Cell.21",0.9798337,47.8125827,0.258064516129032
2.166667,"Cell.22",0.9938644,49.0180877,0.354838709677419
2.166667,"Cell.23",0.9798714,48.0714543,0.290322580645161
2.166667,"Cell.24",0.9806005,48.5968825,0.32258064516129
2.166667,"Cell.25",0.949802,46.9078372,0.0967741935483871
2.166667,"Cell.26",0.9918662,49.7401503,0.612903225806452
2.166667,"Cell.27",0.9482272,46.9168102,0.129032258064516
2.166667,"Cell.28",1.002689,49.1636775,0.451612903225806
2.166667,"Cell.29",0.9603,44.3182663,0
2.166667,"Cell.30",0.9793868,46.8093946,0.0645161290322581
2.166667,"Cell.31",0.9505944,45.612368,0.032258064516129
2.166667,"Cell.32",0.9627833,47.128056,0.161290322580645
2.333333,"Cell.1",1.004567,50.315458,0.741935483870968
2.333333,"Cell.2",0.9955832,49.0784891,0.387096774193548
2.333333,"Cell.3",0.9945331,49.1608432,0.419354838709677
2.333333,"Cell.4",1.039561,54.72428,1
2.333333,"Cell.5",1.030901,53.9923307,0.967741935483871
2.333333,"Cell.6",1.002356,51.4303486,0.870967741935484
2.333333,"Cell.7",1.002708,52.5428662,0.935483870967742
2.333333,"Cell.8",1.057606,51.187307,0.838709677419355
2.333333,"Cell.9",1.006391,49.881537,0.67741935483871
