"System","Order","YFP","CFP"
" Dual-promotor","CFP first",494.31,397.91
" Dual-promotor","CFP first",497.88,732.73
" Dual-promotor","CFP first",498.02,749.76
" Dual-promotor","CFP first",498.21,1363.6
" Dual-promotor","CFP first",498.34,866.86
" Dual-promotor","CFP first",501.51,894.43
" Dual-promotor","CFP first",501.56,335.6
" Dual-promotor","CFP first",512.76,500.72
" Dual-promotor","CFP first",515.53,283.4
" Dual-promotor","CFP first",521.14,736.53
" Dual-promotor","CFP first",523.26,418.98
" Dual-promotor","CFP first",523.91,528.49
" Dual-promotor","CFP first",524.69,456.01
" Dual-promotor","CFP first",531.8,527.65
" Dual-promotor","CFP first",532.48,783.29
" Dual-promotor","CFP first",533.34,589.01
" Dual-promotor","CFP first",533.83,729.37
" Dual-promotor","CFP first",534.5,849.9
" Dual-promotor","CFP first",535.43,525.88
" Dual-promotor","CFP first",538.95,168.14
" Dual-promotor","CFP first",542.24,464.17
" Dual-promotor","CFP first",550.86,653.26
" Dual-promotor","CFP first",554.25,311.37
" Dual-promotor","CFP first",555.64,408.9
" Dual-promotor","CFP first",556.58,498.01
" Dual-promotor","CFP first",563.65,1057.2
" Dual-promotor","CFP first",570.77,454.16
" Dual-promotor","CFP first",571.19,495.38
" Dual-promotor","CFP first",571.28,433.48
" Dual-promotor","CFP first",572.33,639.11
" Dual-promotor","CFP first",573,357.87
" Dual-promotor","CFP first",579.01,632.24
" Dual-promotor","CFP first",582.14,691.05
" Dual-promotor","CFP first",582.43,1152.7
" Dual-promotor","CFP first",583.59,823.9
" Dual-promotor","CFP first",588.16,1042.1
" Dual-promotor","CFP first",588.43,925.39
" Dual-promotor","CFP first",588.6,590.65
" Dual-promotor","CFP first",594.03,1780.9
" Dual-promotor","CFP first",598.97,690.32
" Dual-promotor","CFP first",600.72,1629.9
" Dual-promotor","CFP first",605.47,503.19
" Dual-promotor","CFP first",606.08,486.53
" Dual-promotor","CFP first",606.44,411.44
" Dual-promotor","CFP first",609.75,490.39
" Dual-promotor","CFP first",613.81,965.82
" Dual-promotor","CFP first",617.59,987.31
" Dual-promotor","CFP first",617.8,1013.6
" Dual-promotor","CFP first",620.38,1141.1
" Dual-promotor","CFP first",622.61,917.84
" Dual-promotor","CFP first",623,478.06
" Dual-promotor","CFP first",629.93,969.52
" Dual-promotor","CFP first",630.01,1031.3
" Dual-promotor","CFP first",630.28,774.75
" Dual-promotor","CFP first",630.43,998.97
" Dual-promotor","CFP first",636.42,832.34
" Dual-promotor","CFP first",637.03,840.74
" Dual-promotor","CFP first",637.78,497.75
" Dual-promotor","CFP first",649.3,787.83
" Dual-promotor","CFP first",651.91,195.76
" Dual-promotor","CFP first",654.49,697.64
" Dual-promotor","CFP first",664.36,840.45
" Dual-promotor","CFP first",667.18,433.7
" Dual-promotor","CFP first",677.16,716.51
" Dual-promotor","CFP first",678.47,633.14
" Dual-promotor","CFP first",681.67,937.8
" Dual-promotor","CFP first",687.71,401.23
" Dual-promotor","CFP first",688.31,761.77
" Dual-promotor","CFP first",690.51,1001.1
" Dual-promotor","CFP first",691,949.81
" Dual-promotor","CFP first",716.85,510.54
" Dual-promotor","CFP first",718.93,361.9
" Dual-promotor","CFP first",719.36,728.35
" Dual-promotor","CFP first",719.97,326.01
" Dual-promotor","CFP first",730.23,449.8
" Dual-promotor","CFP first",736.23,1279
" Dual-promotor","CFP first",742.68,723.25
" Dual-promotor","CFP first",743.96,566.44
" Dual-promotor","CFP first",743.99,2523.8
" Dual-promotor","CFP first",746.83,461.41
" Dual-promotor","CFP first",758.55,189.47
" Dual-promotor","CFP first",760.96,821.22
" Dual-promotor","CFP first",765,904.6
" Dual-promotor","CFP first",766.81,198.4
" Dual-promotor","CFP first",774.37,845.74
" Dual-promotor","CFP first",777.41,789.76
" Dual-promotor","CFP first",786.17,1317.9
" Dual-promotor","CFP first",787.13,1454.5
" Dual-promotor","CFP first",794.32,1038.6
" Dual-promotor","CFP first",795.25,285.76
" Dual-promotor","CFP first",799.4,663.19
" Dual-promotor","CFP first",804.15,368.76
" Dual-promotor","CFP first",806.16,952.37
" Dual-promotor","CFP first",808.93,882.49
" Dual-promotor","CFP first",817.34,961.99
" Dual-promotor","CFP first",820.88,927.07
" Dual-promotor","CFP first",821.68,1145
" Dual-promotor","CFP first",826.7,1050.3
" Dual-promotor","CFP first",831.4,1010.2
" Dual-promotor","CFP first",833.04,1188.7
" Dual-promotor","CFP first",836.24,1002.8
" Dual-promotor","CFP first",838.47,720.18
" Dual-promotor","CFP first",839.07,1798.2
" Dual-promotor","CFP first",842.26,721.5
" Dual-promotor","CFP first",844.3,408.99
" Dual-promotor","CFP first",845.29,988.43
" Dual-promotor","CFP first",846.35,550.09
" Dual-promotor","CFP first",849.72,1181.1
" Dual-promotor","CFP first",849.94,1059.6
" Dual-promotor","CFP first",853.91,377.64
" Dual-promotor","CFP first",865.07,636.5
" Dual-promotor","CFP first",865.98,1184.2
" Dual-promotor","CFP first",876.07,1434.3
" Dual-promotor","CFP first",880.21,750.2
" Dual-promotor","CFP first",880.37,748.71
" Dual-promotor","CFP first",882.44,2320
" Dual-promotor","CFP first",899.29,803.83
" Dual-promotor","CFP first",901.3,1658.7
" Dual-promotor","CFP first",902.76,2454.8
" Dual-promotor","CFP first",908.19,1439.1
" Dual-promotor","CFP first",916,1047
" Dual-promotor","CFP first",920.11,1120.1
" Dual-promotor","CFP first",925.09,1315.6
" Dual-promotor","CFP first",936.82,1220.1
" Dual-promotor","CFP first",938.43,524.94
" Dual-promotor","CFP first",940.96,920.35
" Dual-promotor","CFP first",949.69,1143.8
" Dual-promotor","CFP first",953.09,940.6
" Dual-promotor","CFP first",961.49,1817.7
