 ,Label,Mean,Slice
207,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t52,223.49,52
208,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t52,277.15,52
209,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t53,162.78,53
210,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t53,202.99,53
211,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t53,244.17,53
212,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t53,277.69,53
213,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t54,170.10,54
214,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t54,217.49,54
215,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t54,253.96,54
216,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t54,275.15,54
217,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t55,186.36,55
218,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t55,223.31,55
219,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t55,250.20,55
220,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t55,273.81,55
221,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t56,194.02,56
222,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t56,222.00,56
223,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t56,238.64,56
224,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t56,275.91,56
225,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t57,192.17,57
226,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t57,213.50,57
227,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t57,221.64,57
228,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t57,277.29,57
229,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t58,179.80,58
230,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t58,200.06,58
231,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t58,210.15,58
232,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t58,276.02,58
233,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t59,165.73,59
234,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t59,197.49,59
235,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t59,211.67,59
236,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t59,274.69,59
237,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t60,164.37,60
238,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t60,211.20,60
239,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t60,228.94,60
240,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t60,270.73,60
241,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t61,174.82,61
242,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t61,222.00,61
243,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t61,240.62,61
244,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t61,270.52,61
245,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t62,188.17,62
246,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t62,223.02,62
247,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t62,245.84,62
248,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t62,274.94,62
249,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t63,192.93,63
250,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t63,216.69,63
251,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t63,244.16,63
252,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t63,275.93,63
253,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t64,187.99,64
254,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t64,204.69,64
255,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t64,234.26,64
256,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t64,274.25,64
257,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t65,175.08,65
258,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t65,198.05,65
259,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t65,220.58,65
260,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t65,272.84,65
261,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t66,160.34,66
262,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t66,201.26,66
263,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t66,215.61,66
264,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t66,270.75,66
265,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t67,162.58,67
266,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t67,214.20,67
267,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t67,216.72,67
268,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t67,269.59,67
269,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t68,173.83,68
270,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t68,221.01,68
271,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t68,225.36,68
272,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t68,271.58,68
273,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t69,183.77,69
274,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t69,221.12,69
275,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t69,235.78,69
276,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t69,273.38,69
277,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t70,188.80,70
278,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t70,212.03,70
279,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t70,239.96,70
280,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t70,272.40,70
281,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t71,189.35,71
282,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t71,197.87,71
283,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t71,238.25,71
284,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t71,272.36,71
