ID,Material,Requesting Country,Date Ordered
36205,pmTurquoise2-Golgi,UNITED STATES,06/09/2014
36206,pmTurquoise2-NES,UNITED STATES,06/09/2014
36207,pmTurquoise2-H2A,UNITED STATES,06/09/2014
36208,pmTurquoise2-Mito,UNITED STATES,06/09/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,06/09/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,06/06/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,06/06/2014
22905,pSYFP2-SCFP3A,UNITED STATES,06/05/2014
36201,pLifeAct-mTurquoise2,UNITED KINGDOM,06/05/2014
36201,pLifeAct-mTurquoise2,POLAND,06/05/2014
36202,pmTurquoise2-Tubulin,POLAND,06/05/2014
36208,pmTurquoise2-Mito,POLAND,06/05/2014
36209,pPalmitoyl-mTurquoise2,POLAND,06/05/2014
36201,pLifeAct-mTurquoise2,FRANCE,06/05/2014
36204,pmTurquoise2-ER,FRANCE,06/05/2014
36205,pmTurquoise2-Golgi,FRANCE,06/05/2014
36208,pmTurquoise2-Mito,FRANCE,06/05/2014
36209,pPalmitoyl-mTurquoise2,FRANCE,06/05/2014
36203,pmTurquoise2-Peroxi,JAPAN,06/05/2014
36203,pmTurquoise2-Peroxi,JAPAN,06/03/2014
36204,pmTurquoise2-ER,JAPAN,06/03/2014
36205,pmTurquoise2-Golgi,JAPAN,06/03/2014
36208,pmTurquoise2-Mito,JAPAN,06/03/2014
36209,pPalmitoyl-mTurquoise2,JAPAN,06/03/2014
36207,pmTurquoise2-H2A,UNITED STATES,06/03/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,06/02/2014
36207,pmTurquoise2-H2A,UNITED STATES,06/02/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,06/02/2014
22880,pSBFP2-C1,UNITED STATES,06/02/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,05/30/2014
22880,pSBFP2-C1,UNITED STATES,05/29/2014
22881,pSGFP2-C1,UNITED STATES,05/29/2014
36208,pmTurquoise2-Mito,UNITED STATES,05/28/2014
36201,pLifeAct-mTurquoise2,SWEDEN,05/27/2014
36204,pmTurquoise2-ER,SWEDEN,05/27/2014
36209,pPalmitoyl-mTurquoise2,SWEDEN,05/27/2014
36204,pmTurquoise2-ER,SPAIN,05/26/2014
36206,pmTurquoise2-NES,UNITED STATES,05/23/2014
36201,pLifeAct-mTurquoise2,UNITED KINGDOM,05/23/2014
36204,pmTurquoise2-ER,UNITED STATES,05/22/2014
36208,pmTurquoise2-Mito,UNITED STATES,05/22/2014
36202,pmTurquoise2-Tubulin,ITALY,05/22/2014
36207,pmTurquoise2-H2A,ITALY,05/22/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,05/20/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,05/20/2014
36204,pmTurquoise2-ER,UNITED STATES,05/20/2014
36206,pmTurquoise2-NES,UNITED STATES,05/20/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,05/20/2014
36202,pmTurquoise2-Tubulin,SINGAPORE,05/20/2014
36204,pmTurquoise2-ER,SINGAPORE,05/20/2014
36207,pmTurquoise2-H2A,SINGAPORE,05/20/2014
36208,pmTurquoise2-Mito,SINGAPORE,05/20/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,05/16/2014
36205,pmTurquoise2-Golgi,CHINA,05/14/2014
36209,pPalmitoyl-mTurquoise2,CHINA,05/14/2014
22880,pSBFP2-C1,UNITED STATES,05/14/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,05/14/2014
22880,pSBFP2-C1,GERMANY,05/13/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,05/12/2014
36203,pmTurquoise2-Peroxi,UNITED STATES,05/09/2014
36205,pmTurquoise2-Golgi,UNITED STATES,05/09/2014
36208,pmTurquoise2-Mito,UNITED STATES,05/09/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,05/09/2014
36205,pmTurquoise2-Golgi,UNITED KINGDOM,05/08/2014
36201,pLifeAct-mTurquoise2,GERMANY,05/08/2014
36209,pPalmitoyl-mTurquoise2,CANADA,05/07/2014
36203,pmTurquoise2-Peroxi,CHINA,05/07/2014
36205,pmTurquoise2-Golgi,CHINA,05/07/2014
36208,pmTurquoise2-Mito,CHINA,05/07/2014
36209,pPalmitoyl-mTurquoise2,CHINA,05/07/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,05/06/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,05/06/2014
36201,pLifeAct-mTurquoise2,FRANCE,05/05/2014
36202,pmTurquoise2-Tubulin,SWEDEN,05/05/2014
22905,pSYFP2-SCFP3A,BRAZIL,05/02/2014
36205,pmTurquoise2-Golgi,FRANCE,05/02/2014
36201,pLifeAct-mTurquoise2,AUSTRALIA,05/01/2014
36204,pmTurquoise2-ER,UNITED STATES,05/01/2014
36205,pmTurquoise2-Golgi,UNITED STATES,05/01/2014
36208,pmTurquoise2-Mito,UNITED STATES,05/01/2014
36201,pLifeAct-mTurquoise2,UNITED KINGDOM,04/30/2014
36205,pmTurquoise2-Golgi,NETHERLANDS,04/30/2014
22880,pSBFP2-C1,UNITED STATES,04/29/2014
36208,pmTurquoise2-Mito,SPAIN,04/29/2014
36207,pmTurquoise2-H2A,UNITED STATES,04/28/2014
36208,pmTurquoise2-Mito,UNITED STATES,04/24/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,04/24/2014
36205,pmTurquoise2-Golgi,UNITED STATES,04/24/2014
36207,pmTurquoise2-H2A,UNITED KINGDOM,04/24/2014
36209,pPalmitoyl-mTurquoise2,UNITED KINGDOM,04/24/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,04/23/2014
36201,pLifeAct-mTurquoise2,CHINA,04/23/2014
36204,pmTurquoise2-ER,CHINA,04/23/2014
36205,pmTurquoise2-Golgi,CHINA,04/23/2014
36207,pmTurquoise2-H2A,CHINA,04/23/2014
36208,pmTurquoise2-Mito,CHINA,04/23/2014
36209,pPalmitoyl-mTurquoise2,CHINA,04/23/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,04/22/2014
36204,pmTurquoise2-ER,UNITED STATES,04/22/2014
36205,pmTurquoise2-Golgi,UNITED STATES,04/22/2014
36206,pmTurquoise2-NES,UNITED STATES,04/22/2014
36207,pmTurquoise2-H2A,UNITED STATES,04/22/2014
36208,pmTurquoise2-Mito,UNITED STATES,04/22/2014
36201,pLifeAct-mTurquoise2,ISRAEL,04/22/2014
36203,pmTurquoise2-Peroxi,ISRAEL,04/22/2014
36204,pmTurquoise2-ER,ISRAEL,04/22/2014
36205,pmTurquoise2-Golgi,ISRAEL,04/22/2014
36206,pmTurquoise2-NES,ISRAEL,04/22/2014
36207,pmTurquoise2-H2A,ISRAEL,04/22/2014
36208,pmTurquoise2-Mito,ISRAEL,04/22/2014
