BCY_YFP,BCY_CFP,BYC_YFP,BYC_CFP,TCY_YFP,TCY_CFP,TYC_YFP,TYC_CFP,IYC_YFP,IYC_CFP,ICY_YFP,ICY_CFP
622.2,442.57,622.2,442.57,620.45,798.53,554.64,644.78,1381.5,368.38,632.52,3137.4
623.9,732.17,623.9,732.17,623.54,909.89,554.7,731.39,1382.2,499.98,844.6,3160.2
631.75,1450,631.75,1450,625.04,733.49,555.47,572.09,1387.8,534.09,611.02,3188.9
633.35,595.25,633.35,595.25,625.19,643.62,556.37,696.26,1390.5,687.18,767.09,3191.2
634.93,989.04,634.93,989.04,631.13,776.82,557.25,571.53,1394.8,442.77,635.51,3231.5
635.63,589.59,635.63,589.59,636.5,719.89,557.45,573.59,1396.9,557.73,795.42,3238.3
639.93,868.43,639.93,868.43,641.14,904.9,557.76,756.27,1404,355.21,690.91,3242.8
639.98,1164.9,639.98,1164.9,644.44,780.25,558.94,686.97,1414.7,485.82,915.71,3263.6
643.73,1050.1,643.73,1050.1,644.47,821,561.54,719.9,1417.9,576.4,798.54,3270.3
643.74,295.18,643.74,295.18,645.99,778.69,563.54,620.21,1428.4,571.81,813.06,3346.7
645.49,1429.2,645.49,1429.2,646.55,904.46,563.74,675.48,1444.5,417.28,701.28,3348.9
649.64,918.31,649.64,918.31,647.12,821.76,564.6,725.49,1448.8,682.74,795.61,3352.9
658.23,1453.1,658.23,1453.1,647.22,664.63,564.68,613.11,1452.3,455.5,862.66,3360.3
660.96,1241.5,660.96,1241.5,649.27,786.31,567.24,691.61,1457,735.17,648.36,3361.5
661.62,496.24,661.62,496.24,652.38,607.44,568.08,703.59,1467.3,649.56,853.63,3372.6
666.4,882.61,666.4,882.61,657.97,678.68,570.5,656.08,1467.8,600.64,580.21,3381.3
666.64,320.62,666.64,320.62,659.21,986.73,571.45,645.36,1468.5,674.67,740.46,3448.8
671.15,1224.4,671.15,1224.4,659.61,818.46,571.65,691.58,1470.5,577.74,810.08,3463.1
673.4,1175.5,673.4,1175.5,660.14,830.47,572.35,753.68,1471.2,531.35,655.84,3468.3
673.41,1308,673.41,1308,664.29,816.21,573.15,594.32,1472,541.84,689.54,3487.8
676.86,644.95,676.86,644.95,671.54,856.54,573.21,654.83,1473.8,614.96,854.92,3498.6
683.71,1332,683.71,1332,672.43,900.66,574.02,637.36,1475.7,566.22,721.98,3499.6
684,1222.6,684,1222.6,675.7,840.76,574.27,814.66,1478.7,523.22,898.33,3517.2
687.44,2133.1,687.44,2133.1,675.75,930.87,576.01,727.79,1478.8,568.29,761.81,3517.5
690.12,1208.2,690.12,1208.2,676.21,819.1,576.68,645.58,1480.1,553.02,595.46,3540.3
690.41,725.64,690.41,725.64,677.45,774.75,577.07,728.14,1488.7,671.52,730.62,3542.4
693.74,1243.1,693.74,1243.1,677.79,924.91,579.33,392.64,1496,647.02,848.34,3557
697.41,1307.5,697.41,1307.5,679.52,623.25,580.27,715.31,1498.5,609.48,837.94,3584.5
705.52,1178.2,705.52,1178.2,681,739.13,582.04,481.58,1511.5,608.45,909.71,3585.7
708.23,381.39,708.23,381.39,682.07,839.02,583.31,790.02,1519.6,671.27,712.8,3590.7
711.41,1356.9,711.41,1356.9,682.52,788.3,585.62,803.63,1520.3,574.2,1103.3,3591.9
714.65,1476.5,714.65,1476.5,682.62,822.21,586.74,648.36,1521.7,617.02,782.73,3592.8
715.38,1049.5,715.38,1049.5,685.15,874.13,587.67,659.97,1522,660.67,872.29,3606.8
715.89,1001.3,715.89,1001.3,686.34,847.53,587.84,710.74,1531.9,517.25,696.19,3611.3
719.76,458.5,719.76,458.5,687.87,815.92,588.02,839.19,1539.7,764.61,840.39,3611.9
722.5,1364.9,722.5,1364.9,690.12,816.87,588.42,622.79,1540,866.62,888.76,3616
722.87,871.94,722.87,871.94,691.23,736.51,588.43,716.63,1543.1,736.53,880.3,3616.5
725.64,1339,725.64,1339,691.72,761.73,590.14,785.11,1547.6,628.43,622.32,3635.5
726.57,515.98,726.57,515.98,692.85,801.4,593.22,772.6,1548.2,624.33,754.92,3654.8
726.97,796.81,726.97,796.81,694.67,821.64,593.46,683.76,1549.8,665.65,892.12,3657.2
728.04,1337.6,728.04,1337.6,694.69,887.34,594.72,697.94,1549.9,579.54,951.66,3661.2
731.16,483.22,731.16,483.22,697.12,846.13,595.65,768.39,1554.2,660.94,883.58,3666.8
731.98,1413.9,731.98,1413.9,697.99,727.36,598.66,738.07,1555.8,565.51,845.57,3675.8
733.05,531.36,733.05,531.36,700.03,1071.5,599.51,741.9,1561,691.97,1091.4,3684.7
733.27,1158.4,733.27,1158.4,700.61,820.5,600.24,869.13,1571.3,689.4,772.26,3709.2
734.44,577.37,734.44,577.37,702.63,922.88,600.32,641.04,1572.6,556.85,874.39,3760.6
734.53,578.86,734.53,578.86,702.7,1024.6,602.18,715.35,1580.1,780.87,761.93,3761.3
734.94,1491.7,734.94,1491.7,705.09,768.67,602.72,484.36,1582.6,619.88,933.38,3771
739.04,1377.5,739.04,1377.5,708.56,668.63,604.08,756.38,1604.1,348.66,777.95,3782.3
747.36,1091,747.36,1091,709.64,935.99,604.4,694.87,1607.9,768.21,929.78,3813.6
750.63,2233.1,750.63,2233.1,713.17,902.67,608.11,694.56,1627.6,600.66,1163.7,3838.2
754.55,1245.8,754.55,1245.8,713.39,781.7,609.62,712.43,1628.7,700.02,846.81,3885.1
756.92,1020.8,756.92,1020.8,715.46,874.65,609.64,771.45,1629.8,539.47,704.39,3903.6
758.11,602.3,758.11,602.3,719.02,1035.8,609.84,664.17,1632.4,641.29,962.23,3934.7
760.45,842.77,760.45,842.77,721.94,928.33,610.42,692.35,1632.9,776.78,956.99,3934.8
760.65,655.15,760.65,655.15,724.54,805.8,615.15,702.1,1637.2,613.42,981.49,3941.8
764.89,910.03,764.89,910.03,726.25,882.15,617.65,705,1643.5,647,750.94,3942.9
766.83,852.05,766.83,852.05,727.92,911.94,617.78,732.68,1645.2,630.24,885.32,4015.5
770.6,477.24,770.6,477.24,728.15,916.54,619.71,677.08,1652.7,752.47,936.71,4029.3
771.62,917.98,771.62,917.98,736.54,789.19,623.63,697.41,1653,411.11,1017.1,4067.6
774.32,517.39,774.32,517.39,741.28,870.57,625.64,839.49,1667.7,655.23,1032.8,4072.1
781.86,625.03,781.86,625.03,741.78,808.69,626.06,829.27,1670.7,547.53,697.51,4089.4
783.91,626.07,783.91,626.07,745.66,949.75,626.96,779.96,1674.8,618.82,754.64,4136.1
793.18,1442.2,793.18,1442.2,749.85,640.03,627.14,740.1,1675.2,576.05,1230,4142.6
810.36,1857.6,810.36,1857.6,751.29,1013.7,627.97,729.9,1677.9,716.81,941.51,4152
814.65,1474.4,814.65,1474.4,754.45,956.88,631.02,661.17,1678.7,625.2,888.26,4160.6
814.94,1256.7,814.94,1256.7,755.33,871.86,631.02,763.23,1691.1,622.45,877.05,4179.1
822.2,1449.8,822.2,1449.8,758.35,982.46,632.78,805.92,1703,709.66,1000.1,4189.1
830.26,1213.8,830.26,1213.8,759.52,677.03,632.95,736.84,1712.2,838.67,797.17,4190
835.13,1538.3,835.13,1538.3,760.66,1088.2,634.18,774.14,1712.6,731.57,1029.4,4228
843.3,822.75,843.3,822.75,761.15,883.71,637.2,711.79,1718.8,809.91,1017.1,4252.1
843.97,976.07,843.97,976.07,762.82,933.6,638.62,755.19,1724.8,762.71,1207.7,4265
880.95,1579.5,880.95,1579.5,764.05,635.81,642.1,782.87,1726,721.93,809.88,4341.3
889.89,1096.9,889.89,1096.9,764.4,1010.8,643.78,691.89,1729.9,412.69,899.94,4342.8
894.88,638.7,894.88,638.7,765.47,1098.5,645.26,803.49,1730.6,786.07,870.22,4362
895.3,1700.1,895.3,1700.1,765.74,1041.7,646.44,755.72,1731.5,575.47,798.5,4364.6
895.73,643.07,895.73,643.07,765.88,985.88,647.72,382.15,1740.6,758.04,995.97,4374.6
905.1,785.27,905.1,785.27,767.73,614.02,649,721.68,1745.4,798.15,991.02,4393.6
909.9,2031.6,909.9,2031.6,769.16,886.97,651.37,823.44,1753.1,803.14,1039.9,4449.5
914.53,673.84,914.53,673.84,774,1019.1,652.54,781.97,1763.6,657.82,1056.7,4453.6
916.15,1270.1,916.15,1270.1,777.91,676.61,654.88,712.12,1770.6,540.33,1040.7,4455.4
916.95,986.22,916.95,986.22,778.8,917.53,655.66,748.23,1773.8,713.9,997.25,4460.9
917.54,780.37,917.54,780.37,779.72,1092.1,655.72,832.11,1779.1,596.75,1052.9,4481.7
926.94,1921.2,926.94,1921.2,781.73,1003.9,656.47,720.55,1781.6,988.87,671.28,4544.7
943.16,694.48,943.16,694.48,781.84,968.07,657.31,791.15,1787.4,692.29,1082.8,4580.1
956.2,918.84,956.2,918.84,781.88,768.62,661.26,706.11,1800.1,763.47,1004,4585.9
958.89,921.95,958.89,921.95,783.3,956.03,661.63,795.72,1815.9,648.53,1069.1,4608.3
964.65,539.06,964.65,539.06,789.56,1104,662.53,770,1816.5,667.78,812.06,4612.3
978.09,1594,978.09,1594,789.91,962.32,662.69,705.07,1826.4,711.8,852.79,4626.6
981.55,1723.2,981.55,1723.2,793.6,923.6,663.51,826.68,1828.7,774.11,1042.1,4647.6
