 ,Label,Mean,Slice
241,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t61,8.48,61
242,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t61,7.39,61
243,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t61,9.53,61
244,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t61,11.35,61
245,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t62,7.40,62
246,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t62,6.85,62
247,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t62,8.51,62
248,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t62,11.29,62
249,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t63,6.39,63
250,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t63,7.09,63
251,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t63,8.33,63
252,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t63,10.85,63
253,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t64,6.34,64
254,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t64,7.98,64
255,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t64,8.80,64
256,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t64,10.83,64
257,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t65,7.11,65
258,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t65,9.02,65
259,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t65,9.85,65
260,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t65,10.68,65
261,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t66,8.57,66
262,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t66,9.25,66
263,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t66,11.18,66
264,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t66,11.08,66
265,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t67,9.46,67
266,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t67,8.43,67
267,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t67,11.14,67
268,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t67,11.28,67
269,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t68,8.54,68
270,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t68,7.29,68
271,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t68,10.59,68
272,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t68,11.21,68
273,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t69,7.51,69
274,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t69,6.96,69
275,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t69,9.65,69
276,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t69,10.91,69
277,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t70,6.64,70
278,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t70,7.24,70
279,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t70,8.74,70
280,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t70,10.81,70
281,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t71,6.40,71
282,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t71,8.46,71
283,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t71,8.52,71
284,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t71,10.76,71
